DATA;HORA;CONSUM (Wh)
2016-07-30;16;585
2016-07-30;17;465
2016-07-30;18;1158
2016-07-30;19;1382
2016-07-30;20;1092
2016-07-30;21;1235
2016-07-30;22;481
2016-07-30;23;507
;;
2016-07-31;0;492
2016-07-31;1;465
2016-07-31;2;488
2016-07-31;3;468
2016-07-31;4;569
2016-07-31;5;575
2016-07-31;6;476
2016-07-31;7;551
2016-07-31;8;459
2016-07-31;9;1298
2016-07-31;10;867
2016-07-31;11;472
2016-07-31;12;2261
2016-07-31;13;1664
2016-07-31;14;832
2016-07-31;15;916
2016-07-31;16;451
2016-07-31;17;571
2016-07-31;18;499
2016-07-31;19;591
2016-07-31;20;2073
2016-07-31;21;2803
2016-07-31;22;1075
2016-07-31;23;607
;;
2016-08-01;0;502
2016-08-01;1;456
2016-08-01;2;440
2016-08-01;3;495
2016-08-01;4;495
2016-08-01;5;520
2016-08-01;6;460
2016-08-01;7;1785
2016-08-01;8;1393
2016-08-01;9;495
2016-08-01;10;453
2016-08-01;11;418
2016-08-01;12;479
2016-08-01;13;870
2016-08-01;14;1571
2016-08-01;15;454
2016-08-01;16;929
2016-08-01;17;467
2016-08-01;18;493
2016-08-01;19;504
2016-08-01;20;3066
2016-08-01;21;2601
2016-08-01;22;1079
2016-08-01;23;495
;;
2016-08-02;0;422
2016-08-02;1;406
2016-08-02;2;441
2016-08-02;3;439
2016-08-02;4;430
2016-08-02;5;439
2016-08-02;6;497
2016-08-02;7;482
2016-08-02;8;520
2016-08-02;9;503
2016-08-02;10;440
2016-08-02;11;499
2016-08-02;12;412
2016-08-02;13;1311
2016-08-02;14;2740
2016-08-02;15;1125
2016-08-02;16;524
2016-08-02;17;459
2016-08-02;18;442
2016-08-02;19;1066
2016-08-02;20;2722
2016-08-02;21;2492
2016-08-02;22;1249
2016-08-02;23;992
;;
2016-08-03;0;529
2016-08-03;1;507
2016-08-03;2;458
2016-08-03;3;496
2016-08-03;4;416
2016-08-03;5;493
2016-08-03;6;425
2016-08-03;7;659
2016-08-03;8;720
2016-08-03;9;620
2016-08-03;10;417
2016-08-03;11;449
2016-08-03;12;417
2016-08-03;13;1361
2016-08-03;14;806
2016-08-03;15;482
2016-08-03;16;435
2016-08-03;17;507
2016-08-03;18;406
2016-08-03;19;463
2016-08-03;20;1303
2016-08-03;21;2283
2016-08-03;22;816
2016-08-03;23;504
